tidpunkt;nederbörd;temperatur
1961;681.9;6.8
1962;646.4;4.9
1963;557.7;4.9
1964;435.4;5.8
1965;698.1;4.9
1966;659.3;4.8
1967;691.5;6.2
1968;623.3;5.6
1969;551.2;5.5
1970;556.9;4.6
1971;485.1;6.1
1972;537.7;6.8
1973;563.6;6.6
1974;763.3;7.0
1975;454.1;7.6
1976;522.2;5.4
1977;714.1;5.7
1978;591.7;5.2
1979;687.3;5.2
1980;735.2;5.3
1981;722.1;5.4
1982;505.7;6.3
1983;563.1;6.8
1984;683.2;6.8
1985;596.6;4.1
1986;628.5;5.7
1987;540.4;4.3
1988;614.8;6.5
1989;484.1;7.8
1990;752.4;7.8
1991;670.4;6.9
1992;601.6;7.4
1993;634.0;6.5
1994;647.1;6.7
1995;606.2;6.4
1996;436.6;5.5
1997;546.6;7.1
1998;657.1;6.3
1999;654.0;7.5
2000;658.7;7.8
2001;696.0;6.9
2002;568.0;7.4
2003;569.2;6.9
2004;579.0;6.8
2005;580.9;7.2
2006;614.0;7.7
2007;605.7;7.5
2008;715.8;7.9
2009;652.1;7.0
2010;656.3;5.3
2011;535.1;7.7
2012;902.2;6.7
2013;493.9;7.1
2014;628.2;8.1
2015;708.5;8.0
2016;549.1;7.3
2017;621.9;7.2
2018;470.4;7.9
2019;732.3;7.7
2020;609.0;8.9
2021;594.3;7.3
2022;576.1;7.9
